videoname,text(summary),gist(chapter),youtube_id,chapter,category,cluster_label
Kubernetes Crash Course,"Kubernetes lets you create components like pods and services to configure the Kubernetes cluster. All the configuration in the cluster goes through a master node with a process called API server. Configuration requests have to be either in YAML format or in JSON format. There are three parts of a configuration file: metadata, the specification, and the status. The status is automatically generated and edited by the cluster. Kubectl is a commandline tool for Kubernetes. It's used to set up mini cube and cubectl clusters. Mini cube runs both master and worker processes on one node. The API server is the main entry point into the cluster. It submits commands to the API server to create components, delete components, etc.",Creating kubernetes configurations.,I1XeDS-GLbg,kubernetes lets create components like pods services configure kubernetes cluster configuration cluster goes master node process called api server configuration requests either yaml format json format three parts configuration file metadata specification status status automatically generated edited cluster kubectl commandline tool kubernetes used set mini cube cubectl clusters mini cube runs master worker processes one node api server main entry point cluster submits commands api server create components delete components etc,creating kubernetes configurations,41
Kubernetes Crash Course for Absolute Beginners,"In Kubernetes, data storage works in a different way than in traditional distributed systems and containers. Instead of relying on just one application pod and one database pod, we are replicating everything on multiple servers. In practice, you would mostly work with deployments and not with pods. Stateful sets are used to create stateful applications in Kubernetes. Stateful sets take care of replicating the pods and scaling them up or down. It's also important to make sure that database reads and writes are synchronized so that no database inconsistencies are offered. Keston's Kten is the data management platform for Kubernets. Kten takes off most of the load of doing backup and restore in Kuberset.",Data storage in kubernetes.,s_o8dwzRlu4,kubernetes data storage works different way traditional distributed systems containers instead relying one application pod one database pod replicating everything multiple servers practice would mostly work deployments pods stateful sets used create stateful applications kubernetes stateful sets take care replicating pods scaling also important make sure database reads writes synchronized database inconsistencies offered keston kten data management platform kubernets kten takes load backup restore kuberset,data storage kubernetes,41
Kubernetes Crash Course for Absolute Beginners [NEW],"Nana has created a crash course on Kubernetes in 1 hour. Nana has taught hundreds of thousands of people how to advance their DevOps skills through his YouTube channel, online courses and the DevOps educational program. The course is dedicated to help you pass the CKA exam from Linux Foundation to become a certified Kubernets administrator.",The kubernetes crash course.,I1XeDS-GLbg,nana created crash course kubernetes hour nana taught hundreds thousands people advance devops skills youtube channel online courses devops educational program course dedicated help pass cka exam linux foundation become certified kubernets administrator,kubernetes crash course,21
Kubernetes Crash Course for Absolute Beginners [NEW],"Kubernetes is an abstraction layer. On top of the container, Kubernetes offers out of the box a virtual network, which means that each Pod gets its own IP address. Service is a static IP address or permanent IP address that can be attached to each Pod.",The basic set up of a node.,I1XeDS-GLbg,kubernetes abstraction layer top container kubernetes offers box virtual network means pod gets ip address service static ip address permanent ip address attached pod,basic set node,41
Kubernetes Crash Course for Absolute Beginners [NEW],"Kubernetes has a component called ConfigMap. It's basically your external configuration to your application. In Kubernetes, you connect it to the pod so that Pod gets the data that it contains. Secret is used to store secret data credentials in a base 64 encoded format. Secret components are meant to be encrypted using third party tools.",Configuring a database endpoint.,I1XeDS-GLbg,kubernetes component called configmap basically external configuration application kubernetes connect pod pod gets data contains secret used store secret data credentials base encoded format secret components meant encrypted using third party tools,configuring database endpoint,41
Kubernetes Crash Course for Absolute Beginners [NEW],"How to install and run Minique and Kubectl is easy. Minique can be run either as a container or a virtual machine. Minicube runs on Linux, mac and Windows. It's possible to create a Kubernetes cluster on a local machine with the latest version 122. The Cubectl command is used to interact with the cluster. Kubernetes is a tool for working with Kubernetes. It's easy to create a config map with MongoDB database. Endpoint a secret with username and password for MongoDB, a configuration file for deploying a MongoDB application and its service, and a deployment file. MongoDB image version 50 is the core of a deployment. It defines the image of the container within the pod and the port where the container will listen. MongoDB starts at this port, so we can just copy and paste it in here to create pods with the version 50.",Installing and running minicube.,I1XeDS-GLbg,install run minique kubectl easy minique run either container virtual machine minicube runs linux mac windows possible create kubernetes cluster local machine latest version cubectl command used interact cluster kubernetes tool working kubernetes easy create config map mongodb database endpoint secret username password mongodb configuration file deploying mongodb application service deployment file mongodb image version core deployment defines image container within pod port container listen mongodb starts port copy paste create pods version,installing running minicube,41
Kubernetes Crash Course for Absolute Beginners [NEW],"In Kubernetes, you can give any component a key value pair labels so you can label anything from pod to deployment to configmp. Labels are required for pods and optional for other components, but it's a good practice to set them. The service configuration is much easier than the deployment. It defines the name of the service. It also defines the ports configuration. Kubernetes created a deployment and service for web application for Kubernetes demo application. It's a simple node JS application which starts on port 3000. It needs to define container port on 3000 and container port is same as target port on the service. When starting a MongoDB application, we need to set username and password. We need to give the web application information about the database endpoint, where can it access the database, and which username and passwords to use. Before deploying the web application, we need to adjust the service configuration to make it accessible from the browser. Kubectl Get All gives you all the components created in the cluster, which includes deployments, the pods behind the deployment, and all the services we have. Mongo Deployment and Web App deployment pods, each one with one replica running and services for MongoDB and web app. The mini cube is the work node of a Kubernetes cluster. It gives the IP address of the mini cube and the port 30100. It's the port we're going to use to access the web application which is connected to MongoDB. The application can be accessed by editing something and saving.",Labels and match labels.,I1XeDS-GLbg,kubernetes give component key value pair labels label anything pod deployment configmp labels required pods optional components good practice set service configuration much easier deployment defines name service also defines ports configuration kubernetes created deployment service web application kubernetes demo application simple node js application starts port needs define container port container port target port service starting mongodb application need set username password need give web application information database endpoint access database username passwords use deploying web application need adjust service configuration make accessible browser kubectl get gives components created cluster includes deployments pods behind deployment services mongo deployment web app deployment pods one one replica running services mongodb web app mini cube work node kubernetes cluster gives ip address mini cube port port going use access web application connected mongodb application accessed editing something saving,labels match labels,41
Kubernetes Crash Course for Absolute Beginners [NEW],"Kubernetes is an open source container orchestration framework developed by Google. Kubernetes helps you manage applications made up of hundreds or maybe thousands of containers. It guarantees high availability, scalability, disaster recovery, and backup and restore. It also makes applications more flexible to adjust to the increasing or decreasing load. Kubernetes is a virtual network that turns all the nodes inside of the cluster into one powerful machine. Master node is more important than the individual worker nodes in Kubernetes. In this video, we are going to learn about the main components that administrators and users will be working with most of the time.",What is kubernetes.,I1XeDS-GLbg,kubernetes open source container orchestration framework developed google kubernetes helps manage applications made hundreds maybe thousands containers guarantees high availability scalability disaster recovery backup restore also makes applications flexible adjust increasing decreasing load kubernetes virtual network turns nodes inside cluster one powerful machine master node important individual worker nodes kubernetes video going learn main components administrators users working time,kubernetes,41
Kubernetes Tutorial For Beginners - Learn Kubernetes,"In the coming weeks, he will be posting more videos around DevOps. He has done a survey early in January and wanted to learn about Kubernetes, AWS, dockers on and so on. He's just bringing content that you want.",Welcome to my channel.,I1XeDS-GLbg,coming weeks posting videos around devops done survey early january wanted learn kubernetes aws dockers bringing content want,welcome channel,41
Kubernetes Tutorial For Beginners - Learn Kubernetes,"Kubernetes is an application orchestration tool used by software engineers. It is used to manage and orchestrate applications. It also scales up and down according to demand. It performs zero downtime deployments, rollbacks and much more. The demand for Kubernetes engineers is high and the salary is high.",The problem with kubernetes.,I1XeDS-GLbg,kubernetes application orchestration tool used software engineers used manage orchestrate applications also scales according demand performs zero downtime deployments rollbacks much demand kubernetes engineers high salary high,problem kubernetes,41
Kubernetes Tutorial For Beginners - Learn Kubernetes,"To run Kubernetes locally, you need to create a local cluster using minikube. You need to install docker mini, cube and cubectl. Cubectl is a command line tool that we're going to use for most of this course in order to learn how to interact with the cluster from a local machine. A pod is the smallest deployable unit and not containers. The port itself has a unique IP address. The smallest deploy unique for Docker R containers and for Kubernetes R pods is called Amigoscodecubernetescollum. It's a public image that I have in my docker registry. I want two replicas of this application. I created a service which will allow us to access the pods. I had fun teaching you about Kubernetes. I highly recommend enrolling to the course on my website, where I'm going to give you a certificate. If you're new to my channel, go ahead and subscribe so you can keep on recording courses like this.",Create a local cluster using minicube.,I1XeDS-GLbg,run kubernetes locally need create local cluster using minikube need install docker mini cube cubectl cubectl command line tool going use course order learn interact cluster local machine pod smallest deployable unit containers port unique ip address smallest deploy unique docker r containers kubernetes r pods called amigoscodecubernetescollum public image docker registry want two replicas application created service allow us access pods fun teaching kubernetes highly recommend enrolling course website going give certificate new channel go ahead subscribe keep recording courses like,create local cluster using minicube,41
Kubernetes Tutorial For Beginners - Learn Kubernetes,A Kubernetes cluster is a set of nodes where a node can be a VM or a physical machine. The master node is the brains of the cluster and the work notes are where the heavy lifting work happens. Both the master and the worker nodes communicate to each other via the qubit.,What is a kubernetes cluster.,I1XeDS-GLbg,kubernetes cluster set nodes node vm physical machine master node brains cluster work notes heavy lifting work happens master worker nodes communicate via qubit,kubernetes cluster,41
MIT Deep Learning Genomics - Lecture 1 - Machine Learning Intro (Spring 2020),"Deep learning technology is being used to solve problems in bioinformatics. In this term, the tools are going to be used. This term have been catalyzed by three discontinuities over the past year. There will be four problem sets, each with 10% of the work done using Google cloud on Jupyter notebooks. The final project will be done in teams of two. Scribes are here today scribing, and there was a sign up sheet for the rest of the term. The course costs $50. It covers TensorFlow warm up, gene regulation, single cell RNA, seek data, gene expression, express genome and genetics. The problems will be delivered to you as a Jupiter notebook. The programming environment for this course is going to be Jupyter notebooks. It's only $50 at the outset.",Introduction to deep learning.,I1XeDS-GLbg,deep learning technology used solve problems bioinformatics term tools going used term catalyzed three discontinuities past year four problem sets work done using google cloud jupyter notebooks final project done teams two scribes today scribing sign sheet rest term course costs covers tensorflow warm gene regulation single cell rna seek data gene expression express genome genetics problems delivered jupiter notebook programming environment course going jupyter notebooks outset,introduction deep learning,6
MIT Deep Learning Genomics - Lecture 1 - Machine Learning Intro (Spring 2020),"Today we're going to talk about machine learning tasks, classification, regression and classification. In the case of regression, we typically are trying to predict a continuous value, and we have a set of features to predict that value. For example, if you're working on antibodies, for example, you might want to predict out the back end of your model the affinity of a particular antibody sequence for a given target.",Classification and regression.,I1XeDS-GLbg,today going talk machine learning tasks classification regression classification case regression typically trying predict continuous value set features predict value example working antibodies example might want predict back end model affinity particular antibody sequence given target,classification regression,23
MIT Deep Learning Genomics - Lecture 1 - Machine Learning Intro (Spring 2020),"In nonconvex optimization. The training set is used to learn the right parameters to fit the functions to the data. As the training time goes on, the loss goes down and the validation set performance starts to degrade. In the end, the trainer stops training before it gets too overfed. When training these kinds of models, we need to be aware of what's in the data and what's out of it. We'll talk about uncertainty metrics later on in the term about the limitations of the model we built later on. If you're doing regression, you want to know the point estimate of the value of the regression and how certain is it of that value.",Squared um error.,I1XeDS-GLbg,nonconvex optimization training set used learn right parameters fit functions data training time goes loss goes validation set performance starts degrade end trainer stops training gets overfed training kinds models need aware data talk uncertainty metrics later term limitations model built later regression want know point estimate value regression certain value,squared um error,47
MIT Deep Learning Genomics - Lecture 1 - Machine Learning Intro (Spring 2020),"The accuracy is the overall number of things you got right over all of the number of objects that you're looking at. It's important to remember how to compute things like precision, f one score recall, sensitivity and specificity, given a particular set of performance numbers. A receiver operating characteristic curve came from radio receivers.",The confusion matrix.,I1XeDS-GLbg,accuracy overall number things got right number objects looking important remember compute things like precision f one score recall sensitivity specificity given particular set performance numbers receiver operating characteristic curve came radio receivers,confusion matrix,10
MIT Deep Learning Genomics - Lecture 1 - Machine Learning Intro (Spring 2020),"Piercing correlation is a useful statistic. But how do we know how significant a correlation is? The correlation test statistic is distributed as a student t distribution with N minus two degrees of freedom, where N is the number of observations in the original correlation computation. The Spearman rank correlation is perfect when making a classification test. The significance level is zero five. If the chance that occurred at random was zero five or lower, then we only get to allocate half of the area0, 25 to each of the tails. The number of heads after end trials is equal to the distribution shown. The chance of the class bar will make a quick choice. At random is 50% to 50%.",Piercing correlations and r - squared.,I1XeDS-GLbg,piercing correlation useful statistic know significant correlation correlation test statistic distributed student distribution n minus two degrees freedom n number observations original correlation computation spearman rank correlation perfect making classification test significance level zero five chance occurred random zero five lower get allocate half tails number heads end trials equal distribution shown chance class bar make quick choice random,piercing correlations r squared,26
MIT Deep Learning Genomics - Lecture 1 - Machine Learning Intro (Spring 2020),"On Thursday the class is going to take a deep dive into how to do optimization of neural networks. Next week they will talk about convolutional neural networks and neural networks hyperparation, interoperation and learning about learning or AutoML. They will get you started with your own computing environment this week.",Always plot your data.,I1XeDS-GLbg,thursday class going take deep dive optimization neural networks next week talk convolutional neural networks neural networks hyperparation interoperation learning learning automl get started computing environment week,always plot data,14
MIT Deep Learning Genomics - Lecture 1 - Machine Learning Intro (Spring 2020),"As you get more and more recall of all of the positive examples, the precision falls off. Roc and TRC curves are the two curves that are typically used for classification analysis. In one of the problem sets, the Roc curve is flipped and mirrored to show different things about the underlying classifier.",Precision recall curve.,I1XeDS-GLbg,get recall positive examples precision falls roc trc curves two curves typically used classification analysis one problem sets roc curve flipped mirrored show different things underlying classifier,precision recall curve,47
Main Types of Recommender Systems,"According to Accenture Research, 87% of respondents said it's important for consumers to buy from a brand or retailer that understands their personal needs. Recommender systems are classes of algorithms that suggest items to customers. They are built using machine learning. In the next video, we'll talk about how to build a recommender system. Depending on a specific algorithm, we will talk about the business value recommender systems can bring and the specifics of developing such systems.",How recommender systems work.,I1XeDS-GLbg,according accenture research respondents said important consumers buy brand retailer understands personal needs recommender systems classes algorithms suggest items customers built using machine learning next video talk build recommender system depending specific algorithm talk business value recommender systems bring specifics developing systems,recommender systems work,35
Main Types of Recommender Systems,"Alexander Kondoforo is Data science components leader at Ultrasoft. In his new series of videos, he explains the two main types of recommender systems and why it's important to understand them. The main use cases are ecommerce content suggestions and specific recommendor systems that help companies to define which next best action to take.",Two types of recommender systems.,I1XeDS-GLbg,alexander kondoforo data science components leader ultrasoft new series videos explains two main types recommender systems important understand main use cases ecommerce content suggestions specific recommendor systems help companies define next best action take,two types recommender systems,7
Mastery: How to Learn Anything Fast Nishant Kasibhatla,"Nishan explains to Angelo how he memorizes numbers using visualization and association. Nishan recommends spending more time on input and less time on output. When learning something new, he suggests to spend at least two times as much time on the input and one time as on the output.",How do you memorize numbers.,I1XeDS-GLbg,nishan explains angelo memorizes numbers using visualization association nishan recommends spending time input less time output learning something new suggests spend least two times much time input one time output,memorize numbers,36
Mastery: How to Learn Anything Fast Nishant Kasibhatla,"Raise your hand if you think you have a fantastic memory. If you don't, raise your hand. It doesn't matter. You can train your brain to remember better, to learn faster, and to achieve mastery in anything you want in your life. Five people volunteer to write something on the flip chart. One more person volunteers.",Do you think you have a bad memory.,I1XeDS-GLbg,raise hand think fantastic memory raise hand matter train brain remember better learn faster achieve mastery anything want life five people volunteer write something flip chart one person volunteers,think bad memory,1
Mastery: How to Learn Anything Fast Nishant Kasibhatla,"After Manude speech, he wants to challenge himself. He will try to recall the number 302-3768 one more time after speaking for 20 minutes. If it doesn't go well, he will cut the video from the YouTube. The numbers are 4352-6159-2891-3770.",I want to challenge myself.,I1XeDS-GLbg,manude speech wants challenge try recall number one time speaking minutes go well cut video youtube numbers,want challenge,15
Mastery: How to Learn Anything Fast Nishant Kasibhatla,"In the 1990s, there was no Internet, so the only way to do research in the library was to go to the library. The secret of success of famous people like billionaires, SS and celebrities is that they are committed to learning and dedicated to their goals. Your learning ability decides your earning capacity. If you learn faster, you can go from underpaid to overpaid. For true mastery, you need to focus more on the output rather than the input. The quality of input determines the quality of retention and recall. The best way to learn something is to teach it. When you learn something, just output it and share it with other people. The action is better than no action, according to Nishant. Nishant has not seen anyone who became a master at something just by doing the input.",Numbers in my memory.,I1XeDS-GLbg,internet way research library go library secret success famous people like billionaires ss celebrities committed learning dedicated goals learning ability decides earning capacity learn faster go underpaid overpaid true mastery need focus output rather input quality input determines quality retention recall best way learn something teach learn something output share people action better action according nishant nishant seen anyone became master something input,numbers memory,20
NLP for Developers: Word Embeddings   Rasa,Rachel from NASA explains what word embeddings are and how to use them in an NLP application. She explains some common errors developers might run into when using them. She also explains how they can be used to train a machine learning pipeline and to represent the underlying patterns in the corpus.,Word embeddings and machine learning.,I1XeDS-GLbg,rachel nasa explains word embeddings use nlp application explains common errors developers might run using also explains used train machine learning pipeline represent underlying patterns corpus,word embeddings machine learning,29
Natural Language Processing In 10 Minutes NLP Tutorial For Beginners NLP Training Simplilearn,"The final step in the NLP pipeline is named Entity Recognition. This is a subtask of information extraction that seeks to locate and classify named entities in unstructured text into predefined categories. NLP is used in chat bots, speech recognition, autocorrection and text replacement.",Named entity recognition.,I1XeDS-GLbg,final step nlp pipeline named entity recognition subtask information extraction seeks locate classify named entities unstructured text predefined categories nlp used chat bots speech recognition autocorrection text replacement,named entity recognition,29
Natural Language Processing In 10 Minutes NLP Tutorial For Beginners NLP Training Simplilearn,"Pipeline is a set of data processing elements connected in series. It represents the various steps which have to be taken in the computation and the order in which they occur. In this pipeline, we are passing our input text data to a file which can be understood by a computer. The text is first broken into segments and the segments are converted into even smaller tokens. The words stem's of all of these tokens are found, followed by finding the root words of these stems in a process known as Lamatization. And finally, we separate the instances of everyday popular entities from our words to better understand what the sentence is trying to convey. Part of speech tagging is an important part of grammar. The same word can have different part of speeches in different sentences. In this case, lemonade is a determiner, quenched is a verb, her uh is a pronoun and thirst is a noun.",What are pipelines.,I1XeDS-GLbg,pipeline set data processing elements connected series represents various steps taken computation order occur pipeline passing input text data file understood computer text first broken segments segments converted even smaller tokens words stem tokens found followed finding root words stems process known lamatization finally separate instances everyday popular entities words better understand sentence trying convey part speech tagging important part grammar word different part speeches different sentences case lemonade determiner quenched verb uh pronoun thirst noun,pipelines,29
Natural Language Processing In 10 Minutes NLP Tutorial For Beginners NLP Training Simplilearn,Natural language processing is a branch of artificial intelligence that deals with the interactions between humans and computers using the natural language. Companies are increasingly using NLP equipped tools to gain insights from data and to automate routine tasks. The next topic will be looking at NLP pipelines.,What is nlp.,I1XeDS-GLbg,natural language processing branch artificial intelligence deals interactions humans computers using natural language companies increasingly using nlp equipped tools gain insights data automate routine tasks next topic looking nlp pipelines,nlp,31
Natural Language Processing In 10 Minutes NLP Tutorial For Beginners NLP Training Simplilearn,"In this video we will talk about NLP. In the next ten minutes we will give you a basic understanding of NLP. Next we'll look at NLP pipelines which cover the basic processes involved in text passing in NLP, which means converting text to a form suitable for machines to understand as humans would understand it.",What to expect.,I1XeDS-GLbg,video talk nlp next ten minutes give basic understanding nlp next look nlp pipelines cover basic processes involved text passing nlp means converting text form suitable machines understand humans would understand,expect,29
Natural Language Processing In 10 Minutes NLP Tutorial For Beginners NLP Training Simplilearn,"The video on NLP in ten minutes is over. To learn more about natural language processing and related topics, you can check out the Simply Learn website. To nerd up and get certified, click here. If you liked this video, subscribe to the Simply Learning Earning YouTube channel and watch similar videos.",Sponsored by simply learn.,I1XeDS-GLbg,video nlp ten minutes learn natural language processing related topics check simply learn website nerd get certified click liked video subscribe simply learning earning youtube channel watch similar videos,sponsored simply learn,30
Natural Language Processing In 5 Minutes What Is NLP And How Does It Work? Simplilearn,That brings us to the end of this video on NLP.,Sponsored by simply learn.,I1XeDS-GLbg,brings us end video nlp,sponsored simply learn,15
Natural Language Processing In 5 Minutes What Is NLP And How Does It Work? Simplilearn,"Natural language processing. (nlp) is a branch of artificial intelligence that gives machines the ability to read, understand and derive meaning from human languages. NLP is easy to learn and useful in everyday life. Amazon is looking for NLP experts to join them and offer lucrative salaries.",Golden lifesized hospitality.,I1XeDS-GLbg,natural language processing nlp branch artificial intelligence gives machines ability read understand derive meaning human languages nlp easy learn useful everyday life amazon looking nlp experts join offer lucrative salaries,golden lifesized hospitality,31
Neural Networks Pt,"Today on Stackwest, Josh Cameron is going to talk about neural networks and the ReLU activation function. The inspiration for this stack west came from Josh's friend Michael in Svalbard. The neural networks that we've looked at have been simple and only predict whether or not the dosage of a drug will be effective. The more complicated neural networks have more than one input and one output node. When we have two inputs, the neural network creates curved or bent surfaces that are added together to make a new crinkled surface that we can use to make predictions about whether or not the species of an iris is Satosa. When petal or sepal width is close to 04, we get a high value for versicolor double. It's the end of another exciting Stack quest. Now it's time for some shameless self promotion. If you like this Stack quest and want to see more, please subscribe to it and support Queston by contributing to his patreon campaign, becoming a channel member, buying one or two of his original songs, or a t-shirt or a hoodie.",Multiple inputs and outputs.,I1XeDS-GLbg,today stackwest josh cameron going talk neural networks relu activation function inspiration stack west came josh friend michael svalbard neural networks looked simple predict whether dosage drug effective complicated neural networks one input one output node two inputs neural network creates curved bent surfaces added together make new crinkled surface use make predictions whether species iris satosa petal sepal width close get high value versicolor double end another exciting stack quest time shameless self promotion like stack quest want see please subscribe support queston contributing patreon campaign becoming channel member buying one two original songs hoodie,multiple inputs outputs,14
Python Machine Learning Tutorial  Data Science ,"In this lecture, we are going to download a data set from Kagglecom and use it to create a data frame from a CSV file in Jupyter. In the lecture, I'm going to show you some of the most useful methods and attributes from Pandas.",Loading a data set from kaggle.,I1XeDS-GLbg,lecture going download data set kagglecom use create data frame csv file jupyter lecture going show useful methods attributes pandas,loading data set kaggle,27
Python Machine Learning Tutorial  Data Science ,"Moshe Avani has created a machine learning tutorial. With python and jupyter notebook, you will learn how to build a model that can learn and predict the kind of music people like. You don't need any prior knowledge in machine learning, but you need to know python fairly well.",A machine learning tutorial with jupyter notebook.,I1XeDS-GLbg,moshe avani created machine learning tutorial python jupyter notebook learn build model learn predict kind music people like need prior knowledge machine learning need know python fairly well,machine learning tutorial jupyter notebook,23
Python Machine Learning Tutorial  Data Science ,"Machine learning is a subset of AI or artificial intelligence. It's one of the trending topics in the world these days. Machine learning has other applications in self driving cars, robotics, language processing, vision processing, forecasting, stock market trends and the weather games and so on.",Introduction to machine learning.,I1XeDS-GLbg,machine learning subset ai artificial intelligence one trending topics world days machine learning applications self driving cars robotics language processing vision processing forecasting stock market trends weather games,introduction machine learning,31
Python Machine Learning Tutorial  Data Science ,"In this lecture, we're going to look at the popular Python libraries that we use in machine learning projects. The first one is NumPy. The second one is Pandas. The third one is Matplotlib. The fourth one is ScikitLearn. We use Jupyter to write Python code and execute it line by line.",Libraries and tools for machine learning.,I1XeDS-GLbg,lecture going look popular python libraries use machine learning projects first one numpy second one pandas third one matplotlib fourth one scikitlearn use jupyter write python code execute line line,libraries tools machine learning,21
Python Machine Learning Tutorial  Data Science ,"In this lecture, we are going to download a data set from Kagglecom and use it to create a data frame from a CSV file in Jupyter. In the lecture, I'm going to show you some of the most useful methods and attributes from Pandas.",Loading a data set from kaggle.,I1XeDS-GLbg,lecture going download data set kagglecom use create data frame csv file jupyter lecture going show useful methods attributes pandas,loading data set kaggle,27
Python Machine Learning Tutorial  Data Science ,"In the next lecture, I'm going to show you some of the useful shortcuts in jupyter. In the notebook file that we have here, the source code is organized in cells as well as the output for each cell. With these shortcuts, you can write code much faster.",Some of the most useful shortcuts in jupyter.,I1XeDS-GLbg,next lecture going show useful shortcuts jupyter notebook file source code organized cells well output cell shortcuts write code much faster,useful shortcuts jupyter,27
Python Machine Learning Tutorial  Data Science ,"In the next few lectures, we're going to work on a real machine learning project on an online music store. We want to use machine learning to increase sales. We import the data, prepare it, clean it, select a machine learning algorithm, build a model, train the model and ask it to make predictions.",An empty notebook with a single cell.,I1XeDS-GLbg,next lectures going work real machine learning project online music store want use machine learning increase sales import data prepare clean select machine learning algorithm build model train model ask make predictions,empty notebook single cell,27
Python Machine Learning Tutorial  Data Science ,"After building a model, we need to measure its accuracy. In the next lecture, I'm going to show you how to measure the accuracy of a model. In order to do so, we have to split our data set into two sets one for training and the other for testing.",How to measure the accuracy of a model.,I1XeDS-GLbg,building model need measure accuracy next lecture going show measure accuracy model order split data set two sets one training testing,measure accuracy model,27
Python Machine Learning Tutorial  Data Science ,"In this lecture, we're going to look at the popular Python libraries that we use in machine learning projects. The first one is NumPy. The second one is Pandas. The third one is Matplotlib. The fourth one is ScikitLearn. We use Jupyter to write Python code and execute it line by line.",Libraries and tools for machine learning.,I1XeDS-GLbg,lecture going look popular python libraries use machine learning projects first one numpy second one pandas third one matplotlib fourth one scikitlearn use jupyter write python code execute line line,libraries tools machine learning,21
Python Machine Learning Tutorial  Data Science ,"In the next few lectures, we're going to work on a real machine learning project on an online music store. We want to use machine learning to increase sales. We import the data, prepare it, clean it, select a machine learning algorithm, build a model, train the model and ask it to make predictions.",An empty notebook with a single cell.,I1XeDS-GLbg,next lectures going work real machine learning project online music store want use machine learning increase sales import data prepare clean select machine learning algorithm build model train model ask make predictions,empty notebook single cell,27
Python Machine Learning Tutorial  Data Science ,There is a new file with music recommender dot VSCode needs to be installed and reloaded before it can be used to visualize the file. The extension by Stephan Vs Stephan is needed to do that. It's a textual language for describing graphs.,Music recommender dot.,I1XeDS-GLbg,new file music recommender dot vscode needs installed reloaded used visualize file extension stephan vs stephan needed textual language describing graphs,music recommender dot,35
Python Machine Learning Tutorial  Data Science ,"All right, here's the visualization of our decision tree. This is exactly how our model makes predictions. The first condition is age less than or equal to 35. If this condition is false, that means the user is 30 years or older. If the condition is true, the user belongs to the class of classical or people who like classical music. The gender is less than zero five. If it's less than 25 five, then the user likes dance music. If they are younger than 30, then they like acoustic music.",Our decision tree.,I1XeDS-GLbg,right visualization decision tree exactly model makes predictions first condition age less equal condition false means user years older condition true user belongs class classical people like classical music gender less zero five less five user likes dance music younger like acoustic music,decision tree,0
Python Machine Learning Tutorial  Data Science ,"Moshe Avani has created a machine learning tutorial. With python and jupyter notebook, you will learn how to build a model that can learn and predict the kind of music people like. You don't need any prior knowledge in machine learning, but you need to know python fairly well.",A machine learning tutorial with jupyter notebook.,I1XeDS-GLbg,moshe avani created machine learning tutorial python jupyter notebook learn build model learn predict kind music people like need prior knowledge machine learning need know python fairly well,machine learning tutorial jupyter notebook,23
Python Machine Learning Tutorial  Data Science ,"All right, here's the visualization of our decision tree. This is exactly how our model makes predictions. The first condition is age less than or equal to 35. If this condition is false, that means the user is 30 years or older. If the condition is true, the user belongs to the class of classical or people who like classical music. The gender is less than zero five. If it's less than 25 five, then the user likes dance music. If they are younger than 30, then they like acoustic music.",Our decision tree.,I1XeDS-GLbg,right visualization decision tree exactly model makes predictions first condition age less equal condition false means user years older condition true user belongs class classical people like classical music gender less zero five less five user likes dance music younger like acoustic music,decision tree,0
Python Machine Learning Tutorial  Data Science ,There is a new file with music recommender dot VSCode needs to be installed and reloaded before it can be used to visualize the file. The extension by Stephan Vs Stephan is needed to do that. It's a textual language for describing graphs.,Music recommender dot.,I1XeDS-GLbg,new file music recommender dot vscode needs installed reloaded used visualize file extension stephan vs stephan needed textual language describing graphs,music recommender dot,35
Python Machine Learning Tutorial  Data Science ,"In the next lecture, we are going to talk about model persistence. In this lecture, I have removed all the code that we wrote in the last lecture for calculating the accuracy. We import our data set, create a model, train it, and then ask it to make predictions.",Building and training a model to make predictions.,I1XeDS-GLbg,next lecture going talk model persistence lecture removed code wrote last lecture calculating accuracy import data set create model train ask make predictions,building training model make predictions,27
Python Machine Learning Tutorial  Data Science ,"After building a model, we need to measure its accuracy. In the next lecture, I'm going to show you how to measure the accuracy of a model. In order to do so, we have to split our data set into two sets one for training and the other for testing.",How to measure the accuracy of a model.,I1XeDS-GLbg,building model need measure accuracy next lecture going show measure accuracy model order split data set two sets one training testing,measure accuracy model,27
Python Machine Learning Tutorial  Data Science ,"Machine learning is a subset of AI or artificial intelligence. It's one of the trending topics in the world these days. Machine learning has other applications in self driving cars, robotics, language processing, vision processing, forecasting, stock market trends and the weather games and so on.",Introduction to machine learning.,I1XeDS-GLbg,machine learning subset ai artificial intelligence one trending topics world days machine learning applications self driving cars robotics language processing vision processing forecasting stock market trends weather games,introduction machine learning,31
Python Machine Learning Tutorial  Data Science ,"In the next lecture, I'm going to show you some of the useful shortcuts in jupyter. In the notebook file that we have here, the source code is organized in cells as well as the output for each cell. With these shortcuts, you can write code much faster.",Some of the most useful shortcuts in jupyter.,I1XeDS-GLbg,next lecture going show useful shortcuts jupyter notebook file source code organized cells well output cell shortcuts write code much faster,useful shortcuts jupyter,27
Python Machine Learning Tutorial  Data Science ,"In the next lecture, we are going to talk about model persistence. In this lecture, I have removed all the code that we wrote in the last lecture for calculating the accuracy. We import our data set, create a model, train it, and then ask it to make predictions.",Building and training a model to make predictions.,I1XeDS-GLbg,next lecture going talk model persistence lecture removed code wrote last lecture calculating accuracy import data set create model train ask make predictions,building training model make predictions,27
